orbit_0,orbit_1,orbit_2,orbit_4,orbit_5,orbit_6,orbit_7,orbit_8,orbit_9,orbit_10,orbit_11
5,33,2,73,22,143,0,3,37,72,0
8,43,9,28,74,195,3,14,31,165,8
6,31,6,86,33,120,0,6,33,82,8
10,45,28,44,168,178,31,21,33,145,50
10,37,23,36,126,181,18,20,30,139,44
10,37,21,27,121,174,16,13,28,160,34
7,47,8,40,67,208,0,14,38,141,14
5,31,4,66,34,133,1,0,34,70,2
19,35,147,119,335,19,611,94,14,51,321
4,23,1,57,20,144,0,0,28,41,0
5,22,3,64,24,129,0,0,25,56,2
6,21,6,67,28,113,0,0,24,71,8
22,37,198,57,455,22,956,100,6,44,522
4,24,3,91,60,129,0,0,28,4,3
3,23,1,99,6,42,0,5,35,6,0
6,25,6,151,28,31,0,11,19,25,8
1,18,0,35,0,129,0,0,24,0,0
3,42,3,40,44,308,1,20,58,0,0
5,36,3,41,14,212,0,11,47,102,1
4,39,2,48,15,248,0,12,49,66,0
5,36,3,41,30,229,0,12,47,86,2
4,14,5,129,15,8,2,10,14,3,2
4,44,1,50,11,261,0,12,48,77,0
3,39,1,45,11,275,0,13,52,33,0
7,40,11,44,66,198,5,14,45,130,12
6,38,8,35,68,231,3,18,48,82,9
3,21,0,75,0,103,0,0,21,34,0
3,38,1,46,11,273,0,13,53,35,0
4,42,3,44,44,280,1,17,50,36,0
5,29,4,81,24,119,0,0,30,70,4
5,34,1,101,6,109,0,3,25,82,0
